Name,Group,ANID,Fe,Th,Rb,Sr,Y,Zr,Nb
Parinacota-2,PAR2-CHL,IAI030,5700.7,12.2,128.3,270.8,12.3,87.6,14.5
Parinacota-2,PAR2-CHL,IAI031,5808.6,14.1,129.6,286,10.8,90,15.7
Parinacota,PAR-CHL,IAI032,6144.3,17.3,141.4,198.8,9.7,89.4,11.5
Parinacota-2,PAR2-CHL,IAI033,5536.7,14.7,119.5,252.1,10.4,87.6,13.2
Parinacota,PAR-CHL,IAI034,5737,17.8,141.9,192.8,6.6,91.9,11.5
unk-F,unk-F,IAI035,5752,16.5,150.3,212.1,13.1,165.5,10.8
Parinacota,PAR-CHL,IAI036,6635.1,16.4,149.2,198.3,8.1,87.2,10.8
Parinacota,PAR-CHL,IAI037,5787.2,15.7,131,199.8,8.5,77,8.8
Parinacota,PAR-CHL,IAI038,7657.8,16.6,147.7,208.6,8.4,99,9.8
Parinacota,PAR-CHL,IAI039,9683,19.3,154.7,208.2,9.2,99.8,9.2
Parinacota,PAR-CHL,IAI040,5834.5,14.4,137.8,200.5,7.4,84.4,10.8
Salar de Tara,,LICA01,10265.3,24.4,211.2,134.1,34.9,197.3,23
Laguna del Maule-1,LM1-CHL,MZA006,7490.9,17.7,163.6,67.7,16.3,149.5,9.5
Laguna del Maule-2,LM2-CHL,MZA007,6491.9,19.6,180.1,65.6,12.9,120,10.3
Laguna del Maule-1,LM1-CHL,MZA008,7452.3,16.1,156.2,74.9,14.4,146.3,11.8
Laguna del Maule-1,LM1-CHL,MZA009,8106.2,18.6,160.2,77.5,20,159.9,12.8
Laguna del Maule-1,LM1-CHL,MZA010,7050.1,16.1,150.2,69.5,15.9,146.6,9.7
Laguna del Maule-1,LM1-CHL,MZA012,8268.4,15.9,148.5,97.9,14.8,168.5,10.7
Laguna del Maule-1,LM1-CHL,MZA013,7426.9,15.7,158.7,74.2,19,154.9,9.6
Laguna del Maule-1,LM1-CHL,MZA014,8991.1,17.4,161.5,138.6,19,214,13.5
Parinacota,PAR-CHL,NT0066,6717.9,16.6,160.5,222.7,10.9,106,13.7
Parinacota,PAR-CHL,NT0067,6203.2,15.9,154.2,208.2,10.5,100.4,13.3
Parinacota,PAR-CHL,NT0068,6017.5,16.3,153.9,206.9,10.5,104.4,14.2
Parinacota,PAR-CHL,NT0069,6195.7,16.3,154,210.5,10.4,100.2,13.2
Parinacota,PAR-CHL,NT0070,6343,13.8,151.7,211.9,10.3,103.2,12.7
Parinacota,PAR-CHL,NT0071,6156.8,15.6,153.7,208.5,10.8,101.2,12.3
Parinacota,PAR-CHL,NT0072,9205.3,14.4,154.7,212.8,9.6,100.2,13.4
Parinacota,PAR-CHL,NT0073,5828.2,14.2,145.8,202.7,10,102.9,12.3
Parinacota,PAR-CHL,NT0074,6728.4,16.3,160.2,219.7,12,104.6,13.4
Parinacota,PAR-CHL,NT0075,6096.7,14.5,152.1,208,10.7,106.4,12.6
Parinacota,PAR-CHL,NT0076,6304.9,14.5,145.9,202.4,9.8,101,13.1
Parinacota,PAR-CHL,NT0077,5788.7,13.6,141.5,191.9,8.8,91.6,11.7
Salar de Tara,,TARA01,11020.5,24.5,226.5,144.1,36.6,201.4,23.8
