Sample,Group,Mn,Fe,Zn,Ga,ThLa1,Rb,Sr,Y,Zr,Nb,Peso,Notes,Long,Lat,Notes
Parinacota_15_010_03,PAR-CHL,361.4190634,5903.615597,44.40870472,20.90337748,12.65390896,141.5012804,190.0338326,11.06226103,101.9569117,10.65043367,9.95,2.4 MURR NT0075,-69.304712,-18.118535,
Parinacota_15_010_04,PAR-CHL,468.0907998,6733.176443,50.89105064,21.17177114,15.40144798,147.6975338,211.0360523,11.09930318,101.9447443,12.95986722,3.56,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_010_05,PAR-CHL,388.3519605,6290.390105,59.04892664,22.18851892,17.44928948,161.1669604,216.1700832,11.11950112,100.5531988,14.04632146,1.68,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_011_01,PAR-CHL,446.1546199,7272.674594,47.97972729,18.20889738,15.11339095,140.8503791,214.0917837,11.24323937,102.0677867,11.30968035,5.98,"0.6 MURR NT0076, NKT_Tracer3",-69.304712,-18.118535,
Parinacota_15_011_02,PAR-CHL,376.7985531,6346.685083,49.69648515,14.80230749,14.77524594,142.8838818,195.4774139,13.65449653,100.6720778,11.37786043,2.4,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_011_03,PAR-CHL,404.3881025,7920.12455,54.26253354,17.08043533,11.95383511,137.0519824,194.7174407,13.5055269,99.59888571,8.874409107,4.4,"0.9 MURR NT0077, NKT_Tracer3",-69.304712,-18.118535,
Parinacota_15_011_04,PAR-CHL,326.5746923,6136.951802,47.34336412,16.53804227,14.23879239,145.5417381,191.0709139,10.57941488,99.84845668,11.4678063,2.66,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_011_05,PAR-CHL,391.6277186,6009.264392,51.26374481,16.82686321,9.590452301,131.861193,184.4837569,11.74191909,96.57444816,9.868150002,3.3,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_011_06,PAR-CHL,450.465508,6516.960774,53.5984747,21.14749631,12.57755719,150.3079613,206.0915864,15.08437395,116.7474068,12.06089529,0.58,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_02_01,PAR-CHL,418.7679396,7761.241206,56.05159136,19.12979883,16.37976638,148.8072612,218.4852648,14.53827619,111.002409,11.38055187,6.36,"0.8 MURR NT006, NKT_Tracer3",-69.304712,-18.118535,
Parinacota_15_02_02,PAR-CHL,426.1942866,6068.010812,48.50366035,14.41305933,12.97629312,141.9930502,198.8751923,13.75628279,100.2181332,11.75512344,2.9,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_02_03,PAR-CHL,791.1412596,82744.80557,136.9172687,26.58798697,16.78625514,62.70565633,216.7331838,14.66092446,219.6906574,13.40308483,2.97,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_02_04,PAR-CHL,526.1812878,9289.372519,55.5975015,23.89505537,14.29368699,147.8143209,206.9112979,13.44377336,107.5874785,11.42948662,2.15,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_03_01,PAR-CHL,397.4654016,6314.022023,58.46163772,18.36117016,13.46275806,142.788407,203.6792129,12.51137735,106.1693636,11.17053324,1.72,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_03_02,PAR-CHL,406.2387408,5787.966789,50.92490785,19.29071837,17.72613016,139.3475105,197.9443353,11.71405831,96.15775896,11.31190764,2.74,,-69.304712,-18.118535,
Parinacota_15_04_01,PAR-CHL,363.7458544,6040.284317,52.56959448,20.66374845,11.97313031,142.2483788,198.7881803,10.79591591,97.34604749,9.299846845,6.62,0.9 MURR NT0067,-69.304712,-18.118535,
Parinacota_15_04_02,PAR-CHL,417.3321702,6096.044997,50.08351666,18.69584822,12.05092048,141.987049,195.9243763,11.75873485,107.8907561,11.3101586,2.48,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_04_03,PAR-CHL,435.6036942,8184.030182,58.90961825,18.71849537,13.88643069,144.6816786,197.4269095,12.04107364,107.1329886,11.59698908,3.49,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_04_04,PAR-CHL,493.9055707,8837.076286,52.79463539,20.97422636,15.97061541,150.3301072,211.3373172,13.55231374,97.62886474,11.71810627,2.17,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_05_01,PAR-CHL,509.4714194,5840.482973,56.01240428,17.52115535,13.74405569,143.9055322,197.1965947,11.76877383,107.5954425,11.84849976,56.02,"28.20 MURR NT0068, NKT Tracer3",-69.304712,-18.118535,
Parinacota_15_05_02,PAR-CHL,404.7445277,6709.41623,42.31983037,20.72013548,18.03688089,144.9971479,201.9605913,13.38376736,111.3001771,11.39554106,4.79,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_06_01,PAR-CHL,340.0383201,6695.540127,57.19511294,15.2758378,14.68883027,138.8686895,203.7818967,11.74539621,105.0436091,10.97034754,6.56,1.9 MURR NT0069,-69.304712,-18.118535,
Parinacota_15_06_02,PAR-CHL,517.9336961,8022.321253,50.08012167,21.23949598,13.49447823,142.7614723,204.7040958,13.00406735,104.5449253,12.43143679,5.65,1.3 MURR NT0070,-69.304712,-18.118535,
Parinacota_15_06_03,PAR-CHL,480.090634,8130.297412,53.63398923,19.28778947,12.91829247,144.5812095,217.3952141,10.69289838,106.9072735,11.62804913,5.74,"0.4 MURR NT0071, NKT Tracer3",-69.304712,-18.118535,
Parinacota_15_06_04,PAR-CHL,447.155082,6357.086637,54.30307945,16.99157018,14.99991156,143.55151,202.7545494,12.83511948,99.95784165,13.12434253,4.17,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_06_05,PAR-CHL,389.1905609,6231.191676,59.53594142,21.16684308,12.94945491,146.4502966,209.0426456,13.99036529,109.3084945,13.23634005,1.67,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_06_06,PAR-CHL,419.4306662,6339.229875,52.22447576,17.37196212,16.71801142,149.048327,205.720349,13.25592465,106.1851615,12.47736239,2.32,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_07_01,PAR-CHL,531.4492396,12194.5881,62.95443243,19.17421912,12.48633202,140.9169665,197.9073177,11.27874014,99.17268742,10.91225557,4.76,"0.0 MURR NT0072, NKT_Tracer3",-69.304712,-18.118535,
Parinacota_15_08_01,PAR-CHL,508.6997943,7186.272232,53.58761821,22.25619714,16.76138153,143.8081981,202.8328302,11.69866819,103.6176272,11.97085377,36.54,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_09_01,PAR-CHL,483.0862487,9689.9908,51.84384255,21.66205784,14.83516364,145.1496943,215.3600193,11.55452009,110.9338695,14.0636814,1.61,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_09_02,PAR-CHL,457.7457609,5840.500669,51.83327152,22.48149974,15.86805579,145.8731392,200.2340885,8.595034015,96.6837455,11.05166225,4.11,NKT_Tracer3,-69.304712,-18.118535,
Parinacota-IAI030,PAR-CHL,616.9,5700.7,64.8,19.7,12.2,128.3,270.8,12.3,87.6,14.5,,,-69.304712,-18.118535,PAR-CHL-E
Parinacota-IAI031,PAR-CHL,456,5808.6,60.8,16.6,14.1,129.6,286,10.8,90,15.7,,,-69.304712,-18.118535,PAR-CHL-E
Parinacota-IAI032,PAR-CHL,406.7,6144.3,73.6,20.3,17.3,141.4,198.8,9.7,89.4,11.5,,,-69.304712,-18.118535,
Parinacota-IAI033,PAR-CHL,420.9,5536.7,59.3,15.6,14.7,119.5,252.1,10.4,87.6,13.2,,,-69.304712,-18.118535,PAR-CHL-E
Parinacota-IAI034,PAR-CHL,405.5,5737,58.2,15.5,17.8,141.9,192.8,6.6,91.9,11.5,,,-69.304712,-18.118535,
Parinacota-IAI035,PAR-CHL,480.8,5752,40.1,14.3,16.5,150.3,212.1,13.1,165.5,10.8,,,-69.304712,-18.118535,PAR-CHL-F
Parinacota-IAI036,PAR-CHL,527.1,6635.1,60.4,17.3,16.4,149.2,198.3,8.1,87.2,10.8,,,-69.304712,-18.118535,
Parinacota-IAI037,PAR-CHL,447.2,5787.2,77.8,15.7,15.7,131,199.8,8.5,77,8.8,,,-69.304712,-18.118535,
Parinacota-IAI038,PAR-CHL,358.5,7657.8,74.8,16.5,16.6,147.7,208.6,8.4,99,9.8,,,-69.304712,-18.118535,PAR-CHL-B
Parinacota-IAI039,PAR-CHL,348.9,9683,84.8,16.2,19.3,154.7,208.2,9.2,99.8,9.2,,,-69.304712,-18.118535,PAR-CHL-B
Parinacota-IAI040,PAR-CHL,393.2,5834.5,60.6,24.1,14.4,137.8,200.5,7.4,84.4,10.8,,,-69.304712,-18.118535,
Parincota-1-1,PAR-CHL,406.4,5611.6,43.8,,14.7,145.4,236.2,12.6,90.8,11.8,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-10,PAR-CHL,407.8,5506.7,42.6,,13,145.5,229.7,11.7,94.2,12.3,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-11,PAR-CHL,546.6,6500.6,49.4,,15.9,155.1,248.7,12.8,93.7,11.5,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-12,PAR-CHL,360.1,6066.9,40.2,,13.9,142.4,242.7,12.7,94.9,11.3,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-13,PAR-CHL,421.5,5566.7,45.8,,15.1,146.3,236.3,13,97.2,12.5,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-14,PAR-CHL,553.5,13325.8,56.5,,14,137.6,217.3,12,85.6,13,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-15,PAR-CHL,432.3,5636.5,43.1,,16.4,148.4,236.8,11.9,110,12.7,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-16,PAR-CHL,415.9,5795,42.8,,13.6,148.1,236.8,11.6,91.9,11.1,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-17,PAR-CHL,432.7,5805.7,40.2,,15.4,146.8,238.7,11.5,91.4,11.3,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-2,PAR-CHL,493.4,6106.6,48.5,,14,147.8,238.8,13.2,93,12.3,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-3,PAR-CHL,385.9,5610.7,38.2,,12.9,135.1,234.4,11.1,89.3,11.5,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-4,PAR-CHL,423.2,5725.6,44,,14.1,150.1,248.7,13.8,100,12.3,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-5,PAR-CHL,395.8,5424.7,43.4,,13.8,145.9,230.9,12.2,91.2,12.4,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-6,PAR-CHL,417.8,5520.7,42.9,,12.8,145.4,238.1,13.1,111,12,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-7,PAR-CHL,459.4,7157.1,46.4,,13.5,148.8,242.3,12.6,104.2,13.4,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-8,PAR-CHL,211.9,5481.2,32.5,,9.6,112.8,192.1,9,85,13,,Glascock-Quantx2019,-69.304712,-18.118535,
Parincota-1-9,PAR-CHL,346.2,5183.5,41.4,,14.5,140,226.2,12.6,86.7,11.7,,Glascock-Quantx2019,-69.304712,-18.118535,
Q Pelun-ZZ016,QP-CHL,,4057.2,,,,,14.2,274.3,15.7,11.3,,,,,
Q Pelun-ZZ017,QP-CHL,,3977.1,,,13.6,292.3,15.3,7.1,30.9,34.1,,,,,
Q Pelun-ZZ018,QP-CHL,,4201.8,,,13.5,301.7,16.7,13,41.8,39.6,,,,,
Q Pelun-ZZ019,QP-CHL,,4561.5,,,14.9,285.7,15.2,12.4,40.7,35.7,,,,,
Q Pelun-ZZ028,QP-CHL,,4814.9,,,13.3,280.3,13.3,8.4,45.3,35.3,,,,,
Q Pelun-ZZ033,QP-CHL,,4479.7,,,11.6,286.2,16,8.4,36.7,36.5,,,,,
Q Pelun-ZZ034,QP-CHL,,4106.7,,,12,274.6,13.1,8.8,33.2,33.2,,,,,
Q Pelun-ZZ035,QP-CHL,,4354.1,,,13.4,288.7,12.8,7,34.5,33.8,,,,,
Q Pelun-ZZ036,QP-CHL,,4592.5,,,16.4,303.8,15.9,14.7,36.2,36.7,,,,,
Q Pelun-ZZ037,QP-CHL,,4518.4,,,10.6,298.2,15,13.5,40.6,39,,,,,
